Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,organization,Gender,Gender encode
Mangesh Bedekar Ph.D.,Dr. Vishwanath Karad MIT World Peace University,10,12,337,241,,male,1
J. Ken. Corley,Appalachian State University,6,4,336,117,Appalachian State University,female,0
Anil Shankar,Microsoft Research,8,5,336,157,,male,1
Svenja Schröder,Research Fellow at University of Vienna,9,9,336,254,University of Vienna,female,0
Bongjun Kim,Data Scientist | 3M,10,11,336,244,,female,0
Carsten Winkelholz,Fraunhofer FKIE,9,9,336,76,,male,1
Alexandros Pino,National and Kapodistrian University of Athens,10,11,336,149,National and Kapodistrian University of Athens,female,0
Ian Drosos,Researcher at Microsoft Research,5,5,336,326,,female,0
Jack Forman,"Massachusetts Institute of Technology, Tangible Media Group & Center for Bits and Atoms",9,9,336,336,Massachusetts Institute of Technology,female,0
Peter Kinnaird,"PhD Student in Human Computer Interaction Institute, Carnegie Mellon University",9,9,335,124,Carnegie Mellon University,male,1
Dr Asam Almohamed,University of Kerbala,9,9,335,295,University of Kerbala,female,0
Romina Poguntke geb. Kettner,University of Stuttgart,10,10,335,281,University of Stuttgart,male,1
Maximus D. Kaos,"Faculty of Engineering, University of Southern Denmark - Sønderborg",8,8,335,232,Faculty of Engineering,male,1
Swati Mishra,Cornell University,10,10,335,195,Cornell University,female,0
Yeonju Jang,"Phd student, Cornell University",6,5,335,334,Cornell University,female,0
Tiago Camacho,Unknown affiliation,8,7,334,157,,female,0
Hoang Nguyen,TandemAI,8,7,334,262,,female,0
Sungtae Shin,Dong-A University,12,13,334,282,Dong-A University,male,1
Alaa Eddin Alchalabi,Ph.D. University of Ottawa,9,9,334,311,Ph.D. University of Ottawa,male,1
Zhenjie Zhao,Unknown affiliation,10,11,334,215,,female,0
Ralph Barthel,"Senior Lecturer, School of Computing & Mathematical Sciences",11,11,334,92,School of Computing & Mathematical Sciences,male,1
Aakash Gautam,University of Pittsburgh,12,12,334,326,University of Pittsburgh,female,0
Alice Mira Chung,"Cognitive Science, UC San Diego",7,6,334,161,,female,0
Leila Homaeian,University of Waterloo,6,5,334,88,University of Waterloo,female,0
Konstantin Ryabinin,Saint Petersburg State University,11,12,334,240,Saint Petersburg State University,female,0
Pedro Tiago Gomes,"University of Porto, Portugal",9,9,333,193,University of Porto,female,0
Susanne Seitinger,"Massachusetts Institute of Technology, Philips Color Kinetics",11,11,333,94,Massachusetts Institute of Technology,male,1
Indratmo,"Associate Professor of Computer Science, MacEwan University",8,7,333,197,MacEwan University,female,0
Maha Faisal,"Assistant Professor of Computer Engineering,  Kuwait University",9,9,333,184,Kuwait University,female,0
Fu-Yin Cherng,"Assistant Professor, National Chung Cheng University",10,10,333,245,National Chung Cheng University,female,0
Xiao Xiao,"Principal Investigator, De Vinci Innovation Center, Pôle Léonard de Vinci",9,9,333,159,,female,0
Cara Widmer,Kairos Research,8,7,332,153,,female,0
Juyoung Lee,KAIST,10,10,332,273,,female,0
Sarah Harmon,"Assistant Professor of Computer Science, Bowdoin College",9,8,332,135,Bowdoin College,male,1
Zhiyuan Lou,"PhD student, Imperial College London",5,5,332,331,Imperial College,female,0
Stefan Leuthold,Stimmt AG,5,3,331,102,,female,0
Devadas Menon,ISRO,8,8,331,316,,female,0
Francisco Maria Calisto,"Institute for Systems and Robotics (ISR/IST), LARSyS, Instituto Superior Técnico",8,7,331,327,Institute for Systems and Robotics,male,1
Priscilla N. Y. Wong,University College London,8,8,331,330,University College,male,1
Ben Langston,"PhD candidate, Computer Science, University of Bristol",2,2,331,148,University of Bristol,female,0
Yushin Lee,Pukyong National University,9,9,331,300,Pukyong National University,male,1
Günay Orbay,Carnegie Mellon University,9,9,330,109,Carnegie Mellon University,female,0
Susanne Tak,"Education developer, Utrecht University",8,8,330,134,Utrecht University,male,1
Carlos Lara-Alvarez,Center for Research in Mathematics,11,13,330,203,,female,0
Wolfgang Hochleitner,"Senior Researcher, Playful Interactive Environments, University of Applied Sciences Upper Austria",8,8,330,172,University of Applied Sciences,female,0
"Daniel G. Cabrero, PhD","User Research and GDS Assessments' consultant, Personas Technology Ltd",11,13,330,216,,male,1
Md. Khaliluzzaman,"Assistant Professor, Dept. of CSE, IIUC",10,11,330,261,,male,1
BoYu Gao,"Associate Prof., Jinan University, Guangzhou",10,13,330,319,Jinan University,female,0
Tanya Beelders,University of the Free State,10,11,329,225,University of the Free State,male,1
Olivia K. Richards,"Ph.D. Candidate, University of Michigan",8,7,329,322,University of Michigan,male,1
Amal Ponathil,UX Researcher at UserZoom,10,12,329,303,,male,1
Ika Nurlaili Isnainiyah,"Lecturer, Universitas Pembangunan Nasional Veteran Jakarta",10,10,329,317,,female,0
Malcolm Haynes,"Assistant Professor, United States Military Academy",7,4,329,284,United States Military Academy,female,0
Katja Knecht,"PostDoctoral Researcher, Technische Universität Braunschweig",9,9,329,244,,female,0
George P. Yerousis,Birzeit University,5,5,329,184,Birzeit University,female,0
Lara Christoforakos,Ludwig-Maximilians-Universität München,7,4,329,286,,male,1
Daniel Miau,Adobe,7,6,328,131,,male,1
Hyunjoo Song,Soongsil University,9,8,328,258,Soongsil University,male,1
Efi A. Nisiforou,"Assistant Professor in Educational Technology, University of Nicosia",10,10,328,252,University of Nicosia,male,1
Jonas Auda,"Human Computer Interaction, University Duisburg-Essen, GenerIO.net",9,8,328,310,University Duisburg-Essen,female,0
Michael Zbyszyński,Unknown affiliation,10,10,328,193,,male,1
Zhengjie Liu,Dalian Maritime University,9,8,328,139,Dalian Maritime University,male,1
Afsoon Asadzadeh,Tabriz University of Medical Sciences,7,6,328,328,Tabriz University of Medical Sciences,male,1
Nazmus Saquib,Massachusetts Institute of Technology,6,3,328,317,Massachusetts Institute of Technology,female,0
Jenny T. Liang,"Ph.D. student, Carnegie Mellon University",7,6,328,327,Carnegie Mellon University,female,0
Yaser Mowafi,"Associate Professor, College of Engineering and Applied Sciences, Western Kentucky University",10,10,328,167,College of Engineering and,male,1
Md Habibullah Bin Ismail,"Graduated from Computer Science and Engineering, Bangladesh University of Engineering & Technology",7,5,327,232,Bangladesh University of Engineering & Technology,female,0
Christophe Marquesuzaà,Associate Professor,10,11,327,28,,female,0
Gabe Johnson,Carnegie Mellon University,6,6,326,71,Carnegie Mellon University,male,1
Patti Bao,Google,4,4,326,115,,female,0
Rafael Jeferson Pezzuto Damaceno,University of São Paulo - USP - Brazil,10,10,326,244,University of São Paulo - USP -,female,0
Ali Tahir,National University of Sciences and Technology,11,12,326,198,National University of Sciences and Technology,female,0
Nicholas Diana,"Colgate University, Department of Computer Science",6,5,326,272,Colgate University,female,0
Lisa Jo Elliott,Pennsylvania State University,7,6,326,212,Pennsylvania State University,female,0
Michelle Brachman,"Research Scientist, IBM",10,10,325,269,,female,0
Dr. Muzafar Khan,"Department of Software Engineering, National University of Modern Languages",10,10,325,232,National University of Modern Languages,male,1
"Meng Chun, Lam",Universiti Kebangsaan Malaysia,10,11,325,290,,male,1
Michael Oppermann,AIT Austrian Institute of Technology,8,7,325,303,AIT Austrian Institute of Technology,female,0
Mohammad Taha Khan,"Assistant Professor, Washington & Lee University",7,7,325,263,Washington & Lee University,male,1
Reza GhasemAghaei,"Research Associate, Computer Science, Carleton University",7,7,325,90,Carleton University,male,1
Xiang Xiao,Google Inc,9,8,325,182,,male,1
Mete Yaganoglu,"Associate Professor of Computer Engineering, Ataturk University",10,12,325,306,Ataturk University,male,1
Hendrik Schuff,TU Darmstadt,9,9,325,306,,male,1
Janis Lena Meissner,"researcher at the HCI Group at TU Wien, former PhD student in Digital Civics, Open Lab, Newcastle",8,8,325,291,,male,1
Samuel Audet,Unknown affiliation,7,6,325,82,,male,1
Charlee Kaewrat,walailak university,10,11,325,271,walailak university,female,0
Mieke Haesen,Hasselt University,12,14,324,140,Hasselt University,female,0
Adriana Alvarado Garcia,IBM Research,9,9,324,301,,female,0
Clark Della Silva,Massachusetts Institute of Technology,6,5,324,143,Massachusetts Institute of Technology,male,1
Michael L. Rivera,"Assistant Professor, ATLAS Institute and Computer Science, University of Colorado Boulder",9,8,324,286,ATLAS Institute and Computer Science,male,1
Savvas Petridis,"Visiting Researcher, Google",7,7,324,320,,male,1
Mika Yasuoka,"Associate Professor, Informatics, Roskilde University",9,9,323,113,Roskilde University,female,0
Nazneen,Georgia Institute of Technology,7,7,323,223,Georgia Institute of Technology,male,1
Varad Vishwarupe,Senior Research Scientist @ Amazon R&D,9,8,323,291,,female,0
Kathrin Janowski,"Wissenschaftliche Mitarbeiterin, Universität Augsburg",9,9,323,258,,female,0
Mark S. Keller,"PhD Student, HMS",7,6,323,322,,male,1
Will McGrath,Stanford Univeristy,7,7,322,206,,female,0
Petter Karlström,"Senior Lecturer in interaction design, Stockholm University",9,9,322,153,Stockholm University,female,0
kumaravelan,pondicherry university,10,10,322,317,pondicherry university,male,1
Amy Yo Sue Chen,Simon Fraser University,9,9,322,317,Simon Fraser University,female,0
Katelyn Wiley,University of Saskatchewan,8,7,322,307,University of Saskatchewan,female,0
Heri Sismoro,"Faculty of Computer Science, Universitas Amikom Yogyakarta",9,9,322,221,Faculty of Computer Science,female,0
Anubrata Das,"PhD Candidate, University of Texas at Austin",9,9,322,313,University of Texas,male,1
Fotios Spyridonis,"Lecturer (Assistant Professor), Brunel University London",12,14,321,208,Brunel University,male,1
Isabelle Pecci,"Université de Lorraine, LCOMS",10,10,321,84,,male,1
Lauren Westendorf,"Research Fellow, Wellesley College",11,11,321,252,Wellesley College,female,0
Dylan Cashman,"Assistant Professor of Computer Science, Brandeis University",9,8,321,309,Brandeis University,female,0
Hao Zhang,"Research Fellow, Nanyang Technological University",11,12,321,236,Nanyang Technological University,male,1
Xiaoyun Sophia Jia,"Shandong University, Massey University",7,7,321,318,Shandong University,male,1
Gabriel Poesia,Stanford University,8,8,321,316,Stanford University,male,1
Natã M. Barbosa,Netflix,9,8,320,300,,female,0
Edgar Rojas-Muñoz,Assistant Professor at Texas A&M University,10,10,320,316,Texas A&M University,female,0
Jialin Deng,"PhD Candidate, Monash University",6,4,320,273,Monash University,female,0
Susan M. Ferreira,"Post Doctoral Fellow, LICEF Research Center, Université du Québec (TELUQ).",10,10,319,234,,female,0
Romy Budhi Widodo,"Informatics Study Program, Ma Chung University",11,12,319,190,Ma Chung University,male,1
William B. Easley III,Apple Inc.,10,10,319,263,,female,0
Raquel Breejon Robinson,IT University of Copenhagen,9,8,319,300,IT University of Copenhagen,female,0
임제인 Jane Im,University of Michigan School of Information & Department of Computer Science and Engineering,7,7,319,315,University of Michigan School of Information & Department of Computer Science and Engineering,female,0
Jennifer Palilonis,Ball State University,8,7,319,120,Ball State University,male,1
Rongrong Wang,Virginia Tech,5,5,318,139,,female,0
Yin Qu,"PhD Candidate, Computer Science, Texas A&M University",9,9,318,158,Texas A&M University,male,1
Horst Werner,Unknown affiliation,7,5,318,47,,female,0
Franklin Mingzhe Li,Carnegie Mellon University,13,14,318,312,Carnegie Mellon University,female,0
"Ella Dagan, PhD",Google,9,9,318,315,,male,1
Nuno N. Correia,"Tallinn University, ITI/LARSyS",11,12,317,238,Tallinn University,male,1
Omar Janeh,"Lecturer, University of Technology- Iraq",8,8,317,292,University of Technology- Iraq,female,0
Muhammad Ilham Rizqyawan,National Research and Innovation Agency,11,12,317,297,,male,1
Wenxin Feng,Google,8,8,317,246,,male,1
Lu He,University of Wisconsin-Milwaukee,9,8,317,305,University of Wisconsin-Milwaukee,male,1
Hyunjae Gil,Post-doctoral associate in the Department of Computer Science at the University of Texas at Dallas,7,6,317,297,the University of Texas,male,1
Cathrine Seidelin,"Novo Nordisk, Denmark",8,8,317,309,,female,0
Hannah Johnston,"PhD Student, Carleton University",7,6,317,79,Carleton University,male,1
Giannis Milolidakis,Unknown affiliation,9,8,316,118,,male,1
Trevor J. Barrett,"Graduate Student, University of California Santa Barbara",7,6,316,199,University of California,male,1
Anders Markussen,Senior Manager at Novo Nordisk,5,3,316,218,,male,1
Daniel Herron,Facebook,10,10,316,244,,female,0
Jan Bobeth,"Scientist, AIT Austrian Institute of Technology, Vienna",8,7,316,135,AIT Austrian Institute of Technology,male,1
Raghav Pavan Karumur,"Target Enterprise, Inc.",7,6,316,256,,female,0
Mustafa Doga Dogan,Massachusetts Institute of Technology,8,7,316,299,Massachusetts Institute of Technology,female,0
C. Estelle Smith,"Assistant Professor, Computer Science, Colorado School of Mines",9,7,316,311,Colorado School of Mines,female,0
Aarti Israni,UMSI PhD Candidate,7,7,316,308,,female,0
Benjamin Lee,"Postdoctoral Researcher, University of Stuttgart",9,9,316,310,University of Stuttgart,female,0
Cara M. Nunez,"Assistant Professor of Mechanical and Aerospace Engineering, Cornell University",8,8,316,290,Cornell University,male,1
Jillian Warren,"PhD Candidate, Simon Fraser University, School of Interactive Arts and Technology",8,6,315,221,Simon Fraser University,male,1
Azrina Kamaruddin,Senior Lecturer,11,11,315,228,,male,1
Muhardi Saputra,Telkom University,10,11,315,315,Telkom University,female,0
Kitti Puritat,chiangmai university,10,11,315,299,chiangmai university,female,0
Yasmeen Rashidi,"Asst. Prof. of Informatics, Umm Al-Qura Uni, PhD (Security Informatics-Indiana Uni)",6,6,315,281,,female,0
NADIA ABDUL WAHAB,"Senior Lecturer of Computer Science, Universiti Teknologi MARA",7,6,314,239,,female,0
Jinhan Choi,Harvard University,5,3,314,305,Harvard University,female,0
Thitirat Siriborvornratanakul,"Assistant Professor in Computer Science, National Institute of Development Administration (NIDA)",9,8,314,277,National Institute of Development Administration,female,0
Hamish Tennent,Cornell University,8,7,314,289,Cornell University,male,1
H.M.K.K.M.B. Herath,"Lecturer, Faculty of Engineering, Sri Lanka Technological Campus (SLTC)",7,7,314,313,Faculty of Engineering,male,1
"E. Ilana Diamant, PhD","Researcher, Facebook",8,8,314,150,,male,1
Guanhua Zhang (张冠华),University of Stuttgart; The International Max Planck Research School for Intelligent Systems,6,5,314,312,University of Stuttgart,male,1
Nanna Gorm,"PhD student, IT University of Copenhagen",5,5,313,248,IT University of Copenhagen,male,1
Dr. Santosh Kumar Behera,"Assistant Professor, NIT Calicut",9,9,312,253,,female,0
